RID,Code,Name,Lon,Lat
1,aus,Australia,134.4909973,-25.7332993
2,nzl,New Zealand,171.6040039,-41.837101
3,xoc,Rest of Oceania,143.0690002,-7.7979898
4,chn,China,103.8349991,36.5633011
5,hkg,Hong Kong,114.1119995,22.3766003
6,jpn,Japan,137.973999,37.5397987
7,kor,Korea Republic of,127.8290024,36.3676987
8,mng,Mongolia,103.0830002,46.8352013
9,twn,Taiwan,120.9459991,23.7537003
10,xea,Rest of East Asia,127.1800003,40.1419983
11,brn,Brunei Darussalam,114.7610016,4.5214801
12,khm,Cambodia,104.9209976,12.7139997
13,idn,Indonesia,117.3119965,-2.2298701
14,lao,Lao Peoples Democratic Republic,103.7630005,18.5025005
15,mys,Malaysia,109.711998,3.7938299
16,phl,Philippines,122.8740005,11.7474003
17,sgp,Singapore,103.8079987,1.35118
18,tha,Thailand,101.0149994,15.1198997
19,vnm,Viet Nam,106.3040009,16.6515999
20,xse,Rest of Southeast Asia,97.1044998,20.5323009
21,bgd,Bangladesh,90.2708969,23.8330002
22,ind,India,79.6187973,22.8813
23,npl,Nepal,83.9384995,28.2530003
24,pak,Pakistan,69.3858032,29.9668007
25,lka,Sri Lanka,80.7042999,7.61236
26,xsa,Rest of South Asia,67.368103,33.4808006
27,can,Canada,-98.2609024,61.3931007
28,usa,United States of America,-112.4940033,45.6954994
29,mex,Mexico,-102.5350037,23.9508991
30,xna,Rest of North America,-41.3917999,74.7173996
31,arg,Argentina,-65.1675034,-35.3767014
32,bol,Bolivia,-64.6705017,-16.7150993
33,bra,Brazil,-53.0887985,-10.7722998
34,chl,Chile,-71.3800964,-37.8680992
35,col,Colombia,-73.075798,3.9003699
36,ecu,Ecuador,-78.7809982,-1.42528
37,pry,Paraguay,-58.3909988,-23.2360992
38,per,Peru,-74.3753967,-9.1637697
39,ury,Uruguay,-56.0121994,-32.7995987
40,ven,Venezuela,-66.1661987,7.1249399
41,xsm,Rest of South America,-56.6744995,1.2958
42,cri,Costa Rica,-84.189003,9.97052
43,gtm,Guatemala,-90.3569031,15.7023001
44,hnd,Honduras,-86.6196976,14.8192997
45,nic,Nicaragua,-85.0337982,12.8401003
46,pan,Panama,-80.1091003,8.5054398
47,slv,El Salvador,-88.8656006,13.7361002
48,xca,Rest of Central America,-88.6828003,17.2185001
49,dom,Dominican Republic,-70.4853973,18.8931007
50,jam,Jamaica,-77.3197021,18.1513004
51,pri,Puerto Rico,-66.4661026,18.2208996
52,tto,Trinidad and Tobago,-61.2526016,10.4684
53,xcb,Caribbean,-77.2416,21.1886997
54,aut,Austria,14.1400003,47.5929985
55,bel,Belgium,4.66435,50.6430016
56,bgr,Bulgaria,25.2313995,42.7613983
57,hrv,Croatia,16.4069004,45.0442009
58,cyp,Cyprus,33.2186012,35.0429993
59,cze,Czech Republic,15.3382998,49.743
60,dnk,Denmark,10.0508003,55.9622993
61,est,Estonia,25.5258007,58.6739998
62,fin,Finland,26.2591,64.4944992
63,fra,France,2.50053,46.2094994
64,deu,Germany,10.3922997,51.110199
65,grc,Greece,22.9880009,39.0444984
66,hun,Hungary,19.4134998,47.1665001
67,irl,Ireland,-8.1515799,53.1771011
68,ita,Italy,12.0717001,42.7911987
69,lva,Latvia,24.9291992,56.8577003
70,ltu,Lithuania,23.8967991,55.3358002
71,lux,Luxembourg,6.0875401,49.7709999
72,mlt,Malta,14.4046001,35.9203987
73,nld,Netherlands,5.6009998,52.2536011
74,pol,Poland,19.4008999,52.1246986
75,prt,Portugal,-8.4673595,39.6026993
76,rou,Romania,24.9692001,45.8436012
77,svk,Slovakia,19.4913998,48.7074013
78,svn,Slovenia,14.8270998,46.1236
79,esp,Spain,-3.6493101,40.2275009
80,swe,Sweden,16.7411995,62.7877007
81,gbr,United Kingdom,-2.9005001,54.1601982
82,che,Switzerland,8.23458,46.8026009
83,nor,Norway,15.3767996,68.8022995
84,xef,Rest of EFTA,-18.5757999,64.9786987
85,alb,Albania,20.0683994,41.1425018
86,blr,Belarus,28.0470009,53.5401993
87,rus,Russian Federation,96.6893997,61.9882011
88,ukr,Ukraine,31.3878002,49.0161018
89,xee,Rest of Eastern Europe,28.4743004,47.1932983
90,xer,Rest of Europe,19.3887005,43.9379005
91,kaz,Kazakhstan,67.3013,48.1599998
92,kgz,Kyrgyzstan,74.5554962,41.464901
93,tjk,Tajikistan,71.0421982,38.5278015
94,xsu,Rest of Former Soviet Union,61.2613983,40.4258003
95,arm,Armenia,44.9478989,40.2863998
96,aze,Azerbaijan,47.532299,40.2921982
97,geo,Georgia,43.517601,42.1763
98,bhr,Bahrain,50.5625,26.0195007
99,irn,Iran Islamic Republic of,54.3013992,32.5648003
100,isr,Israel,34.9659996,31.3581009
101,jor,Jordan,36.7868996,31.2534008
102,kwt,Kuwait,47.5936012,29.3425007
103,omn,Oman,56.1100998,20.6023998
104,qat,Qatar,51.1912003,25.3157997
105,sau,Saudi Arabia,44.5850983,24.0233994
106,tur,Turkey,35.1791992,39.0606003
107,are,United Arab Emirates,54.3321991,23.9127007
108,xws,Rest of Western Asia,44.0480995,27.1338997
109,egy,Egypt,29.8722992,26.4941006
110,mar,Morocco,-6.3178,31.8836002
111,tun,Tunisia,9.5615597,34.1111984
112,xnf,Rest of North Africa,7.5413799,27.5163994
113,ben,Benin,2.34326,9.6476498
114,bfa,Burkina Faso,-1.73984,12.2778997
115,cmr,Cameroon,12.7433004,5.6858001
116,civ,Cote dIvoire,-5.5555,7.6317301
117,gha,Ghana,-1.20705,7.95964
118,gin,Guinea,-10.9418001,10.4385004
119,nga,Nigeria,8.10532,9.5936403
120,sen,Senegal,-14.4681997,14.3669996
121,tgo,Togo,0.975846,8.5349102
122,xwf,Rest of Western Africa,-1.79619,17.7019997
123,xcf,Central Africa,17.8568993,9.3076696
124,xac,South Central Africa,21.4937992,-6.20684
125,eth,Ethiopia,39.6160011,8.6261396
126,ken,Kenya,37.8578987,0.529779
127,mdg,Madagascar,46.7060013,-19.3735008
128,mwi,Malawi,34.3069992,-13.2151003
129,mus,Mauritius,57.8684998,-20.1700993
130,moz,Mozambique,35.5522995,-17.2602005
131,rwa,Rwanda,29.9172001,-1.99797
132,tza,Tanzania United Republic of,34.8233986,-6.2701998
133,uga,Uganda,32.3862,1.28009
134,zmb,Zambia,27.7978992,-13.4531002
135,zwe,Zimbabwe,29.8717995,-19
136,xec,Rest of Eastern Africa,33.4609985,12.2463999
137,bwa,Botswana,23.8150997,-22.1819992
138,nam,Namibia,17.2185001,-22.1333008
139,zaf,South Africa,25.0932007,-28.9995003
140,xsc,Rest of South African Customs Union,29.3913994,-28.5154991
141,xtw,Rest of the World,21.3115997,-80.4406967
